custAge,profession,marital,responded
29,admin.,married,no
42,admin.,divorced,no
53,admin.,married,yes
39,blue-collar,married,no
48,housemaid,married,no
32,admin.,single,yes
,blue-collar,married,no
38,admin.,single,no
27,technician,single,no
30,admin.,single,no
31,entrepreneur,single,no
39,technician,married,no
,student,single,no
26,blue-collar,single,no
46,admin.,single,no
33,admin.,single,no
39,admin.,single,no
,blue-collar,divorced,no
,technician,married,no
,technician,married,no
26,unemployed,single,no
32,admin.,single,no
,admin.,single,yes
34,management,married,no
59,retired,divorced,yes
,admin.,married,no
,technician,single,yes
40,self-employed,married,no
,technician,single,no
,technician,single,no
,services,single,no
,technician,single,no
,technician,married,yes
48,blue-collar,married,no
23,admin.,single,no
32,blue-collar,single,no
,admin.,divorced,no
21,services,single,no
,technician,married,no
46,blue-collar,married,no
32,admin.,married,no
77,retired,married,yes
35,student,single,no
34,blue-collar,married,no
64,unknown,married,no
47,blue-collar,married,no
,blue-collar,married,no
29,admin.,married,yes
35,technician,married,no
47,admin.,married,no
,admin.,single,no
55,management,married,no
27,student,single,no
44,blue-collar,married,no
31,self-employed,married,no
57,admin.,married,no
36,admin.,divorced,no
33,admin.,married,yes
57,technician,married,no
,admin.,married,no
,admin.,married,no
52,services,married,no
,blue-collar,married,no
,management,married,no
39,technician,married,no
33,admin.,married,no
33,blue-collar,married,no
36,blue-collar,married,no
,admin.,single,no
36,admin.,single,no
,services,married,no
34,technician,married,no
33,technician,single,no
59,blue-collar,married,no
37,blue-collar,married,no
,admin.,married,yes
42,services,married,no
33,technician,single,yes
41,blue-collar,married,no
43,housemaid,single,no
,blue-collar,single,no
28,admin.,married,no
32,unemployed,divorced,no
,services,married,no
38,admin.,single,no
,blue-collar,married,no
39,self-employed,divorced,yes
,admin.,single,no
22,services,single,yes
25,admin.,single,no
31,services,single,no
51,services,married,no
49,services,married,no
55,technician,married,yes
,services,single,yes
81,retired,divorced,no
,admin.,single,no
54,unemployed,married,no
55,blue-collar,married,no
37,services,single,no
78,unknown,married,no
36,management,married,no
,blue-collar,married,no
,unemployed,married,no
,blue-collar,married,no
34,blue-collar,married,no
,retired,single,no
36,blue-collar,married,no
30,admin.,single,no
,admin.,married,no
,services,married,no
34,blue-collar,married,no
28,technician,single,no
31,technician,divorced,no
51,services,married,no
50,services,divorced,no
,blue-collar,married,no
56,admin.,married,no
32,admin.,single,no
46,services,married,no
34,technician,divorced,no
,management,married,no
36,technician,married,yes
25,unemployed,married,yes
34,admin.,single,no
50,entrepreneur,married,no
43,blue-collar,married,no
33,services,married,no
56,services,married,no
45,services,married,no
,services,single,no
42,services,married,no
63,retired,married,yes
59,admin.,divorced,no
45,blue-collar,divorced,no
,blue-collar,single,no
,admin.,single,no
34,technician,divorced,no
,admin.,married,no
27,technician,single,no
,unemployed,single,no
44,admin.,divorced,no
,blue-collar,married,no
45,technician,married,no
,management,married,no
43,blue-collar,married,no
45,housemaid,divorced,no
,technician,single,no
34,technician,divorced,no
54,self-employed,married,no
47,technician,married,no
35,technician,single,no
85,housemaid,married,yes
,technician,married,no
39,blue-collar,divorced,no
29,services,married,no
59,retired,married,no
30,housemaid,married,no
46,blue-collar,single,no
,services,single,no
47,self-employed,married,no
34,admin.,married,no
28,blue-collar,married,no
37,technician,married,no
38,technician,married,no
,blue-collar,married,no
,entrepreneur,married,no
43,management,married,no
51,technician,married,yes
48,admin.,divorced,no
,admin.,married,no
29,services,single,no
42,housemaid,married,no
32,unemployed,married,no
29,blue-collar,married,no
51,technician,divorced,no
46,management,married,no
,blue-collar,divorced,no
44,self-employed,divorced,no
,management,single,no
,technician,married,no
47,technician,married,no
60,technician,married,no
56,retired,married,no
56,retired,married,no
,entrepreneur,married,no
,management,married,no
51,admin.,divorced,no
36,management,married,yes
44,unemployed,married,no
34,blue-collar,married,yes
,self-employed,divorced,no
24,student,single,no
,blue-collar,married,no
53,admin.,married,no
46,blue-collar,married,no
34,blue-collar,single,no
,self-employed,single,no
35,blue-collar,married,no
46,admin.,divorced,no
79,retired,married,yes
,technician,single,no
,management,single,no
82,retired,divorced,yes
46,self-employed,divorced,no
42,technician,married,no
38,entrepreneur,married,no
33,services,married,no
40,technician,single,no
57,admin.,divorced,no
44,management,divorced,no
42,blue-collar,divorced,no
41,services,married,no
26,admin.,single,yes
55,blue-collar,married,no
34,management,married,no
39,management,married,no
44,blue-collar,married,no
,blue-collar,married,no
,admin.,single,no
38,self-employed,single,no
28,technician,single,yes
,technician,married,no
32,admin.,married,no
48,blue-collar,married,no
,blue-collar,married,no
40,management,married,no
28,technician,single,no
49,management,divorced,no
,retired,married,yes
46,entrepreneur,married,no
56,technician,married,yes
44,services,married,no
31,student,single,no
,admin.,divorced,no
57,admin.,divorced,no
31,admin.,married,no
29,admin.,single,yes
56,housemaid,divorced,no
,blue-collar,married,no
33,admin.,single,no
51,self-employed,married,no
42,services,married,yes
42,unknown,single,no
,blue-collar,single,no
42,blue-collar,single,no
25,student,single,no
,admin.,single,no
50,admin.,married,no
,blue-collar,married,no
24,student,single,no
,technician,married,no
,technician,married,no
29,blue-collar,single,no
37,entrepreneur,married,no
,admin.,single,no
,self-employed,single,no
39,housemaid,married,no
42,blue-collar,married,no
51,blue-collar,married,no
46,housemaid,married,no
37,admin.,single,no
,technician,single,yes
53,management,married,no
41,blue-collar,married,yes
33,admin.,married,no
44,blue-collar,married,no
29,admin.,single,no
51,housemaid,married,no
43,services,divorced,no
38,admin.,married,no
37,admin.,married,no
,admin.,married,no
36,admin.,single,no
,blue-collar,married,no
44,blue-collar,married,no
53,self-employed,married,yes
29,blue-collar,married,no
,technician,married,no
30,technician,single,no
33,technician,single,no
40,services,married,no
22,technician,single,yes
31,admin.,single,no
33,blue-collar,single,no
50,management,married,no
28,blue-collar,single,no
33,self-employed,single,no
25,admin.,single,no
,admin.,married,no
,unknown,married,no
46,blue-collar,married,no
,blue-collar,married,no
39,self-employed,married,no
,management,single,no
32,services,married,no
30,admin.,married,no
23,blue-collar,married,no
60,retired,divorced,no
26,blue-collar,single,no
29,management,married,no
30,admin.,married,no
43,technician,married,no
,retired,married,no
35,admin.,married,yes
37,technician,single,no
,self-employed,married,no
33,admin.,single,no
46,blue-collar,married,no
50,self-employed,single,no
53,services,married,no
31,admin.,married,no
31,admin.,married,yes
32,blue-collar,married,no
38,technician,married,no
33,admin.,married,yes
48,self-employed,married,no
39,blue-collar,single,no
39,technician,married,no
,blue-collar,married,no
37,admin.,married,no
,services,married,no
57,technician,married,no
,blue-collar,divorced,no
39,blue-collar,married,no
59,blue-collar,married,no
21,student,single,yes
54,admin.,married,no
56,services,married,no
31,technician,single,no
57,technician,married,no
44,services,married,no
51,blue-collar,married,no
22,technician,single,no
31,services,married,no
46,management,married,no
34,technician,married,no
30,services,single,no
33,technician,married,no
41,admin.,married,yes
24,student,single,no
27,technician,married,no
40,admin.,married,no
34,services,married,no
,admin.,married,no
53,entrepreneur,married,yes
56,retired,married,no
,blue-collar,married,no
48,blue-collar,married,no
43,entrepreneur,married,no
30,admin.,single,no
,admin.,single,no
31,technician,married,no
48,admin.,married,no
56,blue-collar,married,no
30,admin.,married,no
46,services,married,no
50,technician,married,no
,technician,married,no
39,blue-collar,divorced,no
44,entrepreneur,divorced,no
,services,married,no
,admin.,single,no
37,services,single,no
29,technician,divorced,no
35,admin.,single,no
34,services,single,no
38,admin.,married,no
34,self-employed,married,no
47,blue-collar,married,no
,technician,married,no
35,blue-collar,single,no
,admin.,single,no
34,admin.,single,no
31,technician,married,no
,blue-collar,divorced,no
,technician,married,no
,admin.,single,no
25,blue-collar,married,no
,admin.,single,no
50,management,divorced,no
45,admin.,married,no
29,blue-collar,married,no
,admin.,single,no
,entrepreneur,single,no
35,admin.,single,no
45,admin.,single,no
,blue-collar,married,yes
,admin.,single,no
,technician,single,no
44,services,married,no
,blue-collar,single,no
55,admin.,divorced,no
36,blue-collar,married,no
52,admin.,divorced,no
35,services,married,no
45,management,married,no
34,admin.,married,no
,admin.,married,no
38,blue-collar,married,no
,admin.,divorced,no
55,blue-collar,married,no
52,blue-collar,married,no
54,blue-collar,married,no
,admin.,married,no
56,admin.,married,no
38,technician,married,yes
21,blue-collar,married,no
49,admin.,married,no
,blue-collar,married,no
79,retired,married,no
37,blue-collar,married,no
29,admin.,single,no
,blue-collar,single,no
33,blue-collar,single,yes
39,blue-collar,married,no
45,management,married,yes
32,management,married,no
29,technician,single,no
39,services,married,no
,admin.,divorced,no
31,blue-collar,single,no
26,student,single,no
36,blue-collar,married,no
34,technician,single,no
34,admin.,married,no
27,self-employed,single,no
38,blue-collar,married,no
33,blue-collar,single,no
,services,married,no
,admin.,married,no
50,technician,married,yes
42,services,married,yes
58,blue-collar,married,no
31,student,single,no
27,student,single,no
25,student,married,no
36,entrepreneur,married,no
52,admin.,divorced,no
36,admin.,single,yes
,blue-collar,married,no
44,admin.,divorced,no
32,technician,married,no
41,services,married,no
31,management,single,no
53,admin.,divorced,no
42,admin.,single,no
,retired,married,no
40,management,married,no
53,technician,married,no
54,management,married,no
,technician,married,no
36,unemployed,single,no
39,technician,married,no
35,blue-collar,married,no
68,retired,married,no
25,technician,single,no
,admin.,married,no
31,blue-collar,divorced,no
29,management,married,no
,technician,married,no
29,management,single,no
58,blue-collar,married,no
,technician,married,no
30,admin.,single,no
38,admin.,single,yes
36,technician,divorced,no
40,technician,married,no
59,admin.,married,no
35,blue-collar,married,no
46,blue-collar,married,no
56,unknown,married,yes
28,blue-collar,married,no
43,management,married,no
55,blue-collar,married,no
32,admin.,single,no
41,admin.,married,no
47,housemaid,married,no
33,technician,single,no
42,technician,married,no
30,technician,single,no
,technician,single,no
33,blue-collar,single,no
,blue-collar,single,no
,self-employed,single,no
34,technician,married,no
46,admin.,married,no
,admin.,married,no
55,blue-collar,divorced,no
51,blue-collar,married,no
51,admin.,married,no
32,blue-collar,married,no
35,entrepreneur,single,no
74,retired,married,yes
39,blue-collar,single,no
46,technician,single,no
46,blue-collar,single,no
45,technician,married,no
59,management,married,yes
39,self-employed,married,no
,student,single,no
,housemaid,married,no
36,admin.,single,no
37,technician,married,no
33,self-employed,married,no
38,admin.,married,no
36,admin.,single,no
27,admin.,married,no
52,technician,married,no
33,admin.,married,no
37,blue-collar,married,no
,services,married,no
38,technician,divorced,no
,blue-collar,married,no
36,services,married,no
27,services,married,no
,admin.,married,no
54,admin.,married,no
53,admin.,married,no
37,management,single,no
49,admin.,married,no
40,services,married,no
32,admin.,single,no
,services,married,no
33,technician,married,no
48,admin.,married,no
,blue-collar,married,no
34,technician,divorced,yes
,blue-collar,single,no
50,admin.,married,no
,management,married,no
35,technician,married,no
36,blue-collar,married,no
,admin.,divorced,no
30,blue-collar,married,yes
24,admin.,single,yes
27,blue-collar,single,no
48,retired,married,no
26,services,single,no
48,services,married,no
34,technician,married,no
38,management,married,no
49,unemployed,married,no
36,admin.,married,no
,technician,divorced,no
55,unemployed,married,yes
41,admin.,single,no
50,entrepreneur,married,no
33,management,married,yes
30,admin.,married,no
40,blue-collar,married,no
50,admin.,married,no
,technician,divorced,no
40,unemployed,divorced,no
38,technician,married,no
39,blue-collar,married,no
25,unemployed,married,no
57,entrepreneur,married,no
46,admin.,divorced,no
25,admin.,single,no
57,retired,married,yes
38,blue-collar,married,no
24,blue-collar,married,no
35,technician,married,no
29,student,married,no
42,technician,divorced,no
41,technician,married,no
43,entrepreneur,divorced,no
26,admin.,single,no
41,blue-collar,divorced,no
38,services,single,no
34,blue-collar,married,no
38,technician,single,yes
21,unemployed,married,no
32,admin.,single,no
30,self-employed,single,no
,blue-collar,married,no
34,technician,single,no
54,services,married,no
44,blue-collar,married,no
32,admin.,divorced,no
,technician,divorced,no
49,technician,married,no
,blue-collar,married,no
27,services,single,no
45,admin.,married,yes
45,admin.,divorced,no
36,services,single,yes
,admin.,single,no
43,technician,married,no
30,technician,single,no
,services,married,no
,blue-collar,married,no
23,technician,single,no
26,admin.,married,no
38,admin.,divorced,no
31,admin.,married,yes
47,blue-collar,married,no
37,blue-collar,married,no
31,blue-collar,single,no
32,technician,single,no
,blue-collar,single,no
47,admin.,single,no
52,unknown,married,no
37,technician,single,no
56,blue-collar,married,no
30,admin.,single,yes
,blue-collar,married,no
30,admin.,married,no
52,entrepreneur,single,no
,management,married,yes
42,management,divorced,no
50,housemaid,divorced,no
53,blue-collar,married,no
34,management,married,no
29,blue-collar,married,no
,blue-collar,married,no
35,blue-collar,married,no
,services,married,no
45,services,married,no
,blue-collar,single,no
31,blue-collar,married,yes
37,blue-collar,married,no
31,blue-collar,married,no
31,technician,divorced,no
,services,married,yes
30,admin.,married,no
34,admin.,single,no
36,technician,divorced,no
,services,married,no
37,technician,single,no
43,technician,married,no
28,technician,single,yes
30,admin.,single,no
39,blue-collar,married,no
,admin.,married,no
26,student,single,no
32,admin.,single,no
,self-employed,married,no
34,services,divorced,no
,technician,single,no
41,entrepreneur,married,yes
,admin.,married,no
,retired,single,no
,management,married,no
31,admin.,single,yes
31,unemployed,married,no
58,admin.,married,no
,admin.,single,yes
46,blue-collar,married,no
28,services,single,no
,blue-collar,married,no
29,admin.,married,no
36,admin.,married,no
48,admin.,married,yes
34,blue-collar,married,no
33,technician,married,no
,blue-collar,married,no
53,blue-collar,married,no
56,retired,married,no
,services,married,no
32,blue-collar,married,no
59,retired,married,no
29,services,single,yes
,admin.,divorced,no
39,technician,married,no
53,services,married,no
53,technician,married,no
42,blue-collar,married,no
24,self-employed,single,no
27,blue-collar,married,no
42,technician,married,no
24,technician,divorced,no
53,housemaid,divorced,no
31,blue-collar,married,yes
35,technician,married,no
,blue-collar,married,no
,blue-collar,divorced,no
33,blue-collar,single,no
40,management,married,no
41,admin.,single,no
35,technician,single,no
36,blue-collar,married,no
,services,single,no
45,blue-collar,married,no
37,blue-collar,married,no
45,blue-collar,divorced,no
,retired,married,no
30,technician,married,yes
53,technician,married,no
45,admin.,married,no
30,technician,married,no
,management,married,no
35,technician,married,no
55,retired,single,no
40,blue-collar,married,no
,blue-collar,single,no
43,admin.,married,yes
42,blue-collar,married,no
50,services,married,no
37,blue-collar,divorced,no
,admin.,single,no
,management,married,no
,admin.,single,yes
,admin.,married,no
72,retired,divorced,no
,housemaid,married,no
,admin.,single,no
46,admin.,married,no
30,blue-collar,single,no
39,admin.,married,no
33,blue-collar,married,no
26,technician,single,no
46,housemaid,married,no
46,admin.,married,no
40,admin.,married,no
,admin.,married,no
32,services,married,no
51,admin.,married,no
41,entrepreneur,divorced,no
43,services,married,no
34,blue-collar,married,no
42,entrepreneur,married,no
37,blue-collar,married,no
36,technician,married,no
,technician,married,no
27,blue-collar,single,no
31,blue-collar,married,no
,admin.,married,yes
30,blue-collar,married,no
,admin.,single,yes
33,admin.,single,no
43,management,married,no
,management,single,no
49,blue-collar,married,no
67,housemaid,divorced,yes
34,technician,married,yes
52,admin.,married,no
28,blue-collar,married,no
40,admin.,divorced,no
,management,married,no
,admin.,married,no
47,technician,divorced,no
,technician,married,no
31,technician,married,no
52,blue-collar,married,no
31,admin.,single,no
34,services,married,no
48,technician,married,no
36,self-employed,married,no
,admin.,married,no
45,admin.,single,no
29,admin.,single,yes
29,admin.,married,no
45,admin.,divorced,no
,admin.,married,no
58,housemaid,married,no
,blue-collar,married,no
49,services,divorced,no
33,admin.,single,no
37,student,single,no
44,technician,divorced,no
46,admin.,single,no
49,blue-collar,married,no
,retired,married,no
37,blue-collar,married,no
45,services,married,no
41,technician,married,no
43,entrepreneur,married,no
23,technician,single,no
33,student,married,no
,admin.,divorced,no
25,admin.,single,no
39,services,married,no
,blue-collar,married,yes
,student,divorced,no
31,admin.,single,no
48,technician,married,no
28,admin.,single,no
,blue-collar,married,no
44,blue-collar,married,no
35,technician,married,no
34,blue-collar,married,no
53,retired,divorced,no
,management,divorced,no
71,retired,single,no
38,admin.,single,no
,retired,married,no
,technician,married,no
29,blue-collar,married,no
33,admin.,married,no
32,blue-collar,married,no
30,admin.,married,no
27,admin.,married,no
,blue-collar,married,no
54,blue-collar,married,yes
40,blue-collar,married,no
44,admin.,married,no
33,blue-collar,married,no
,blue-collar,married,no
36,admin.,single,yes
45,self-employed,divorced,no
55,entrepreneur,divorced,no
33,admin.,single,yes
29,blue-collar,single,no
38,self-employed,single,no
27,admin.,single,no
36,services,married,no
,services,married,no
59,housemaid,divorced,no
,services,divorced,no
50,technician,single,no
,technician,single,no
55,blue-collar,married,no
25,services,single,yes
38,admin.,married,no
,technician,married,no
31,technician,single,no
34,admin.,divorced,no
30,services,single,no
44,unemployed,married,no
41,services,married,no
57,blue-collar,married,no
32,student,married,yes
,services,single,no
52,admin.,married,no
28,blue-collar,single,no
34,management,single,no
44,services,married,no
38,admin.,divorced,no
28,technician,married,no
33,blue-collar,married,no
30,admin.,single,no
,unknown,married,no
38,management,married,yes
49,housemaid,divorced,no
,admin.,single,yes
35,blue-collar,married,no
25,technician,single,no
76,retired,married,yes
36,management,married,no
28,admin.,married,no
61,admin.,married,yes
,blue-collar,married,no
29,admin.,single,no
32,blue-collar,married,yes
,admin.,married,no
39,blue-collar,married,no
40,self-employed,married,no
29,blue-collar,married,no
,blue-collar,single,no
,admin.,married,no
30,blue-collar,married,no
32,self-employed,single,no
31,blue-collar,married,no
33,services,married,yes
34,blue-collar,married,no
32,blue-collar,married,no
38,management,single,no
,services,divorced,no
34,technician,married,no
23,admin.,single,yes
,technician,single,no
,admin.,single,no
36,services,single,no
27,admin.,married,no
49,admin.,married,no
29,technician,single,no
75,housemaid,divorced,no
24,student,single,no
64,retired,married,no
32,blue-collar,married,no
57,technician,divorced,no
43,blue-collar,married,no
36,services,single,no
29,management,married,no
,student,single,yes
40,technician,married,no
28,admin.,single,no
53,blue-collar,married,no
,admin.,married,no
36,admin.,single,no
,services,married,no
39,admin.,divorced,no
,services,married,no
52,housemaid,divorced,no
,admin.,single,no
36,admin.,single,no
39,entrepreneur,married,no
31,admin.,single,no
49,services,married,no
47,blue-collar,married,no
,admin.,married,no
40,management,married,no
54,self-employed,divorced,no
35,blue-collar,single,no
31,blue-collar,single,no
34,management,single,no
30,admin.,single,no
30,services,single,no
41,services,married,no
39,admin.,married,no
55,admin.,single,no
,management,married,no
51,admin.,married,no
33,self-employed,married,no
53,admin.,single,no
,admin.,single,no
34,blue-collar,married,no
,blue-collar,divorced,no
36,admin.,single,no
50,admin.,married,no
,unknown,married,no
44,management,married,no
46,self-employed,married,no
27,admin.,single,no
33,admin.,single,no
,entrepreneur,single,yes
25,admin.,single,no
45,blue-collar,married,no
52,technician,married,no
24,admin.,single,no
,blue-collar,married,yes
34,admin.,single,no
52,admin.,divorced,no
38,blue-collar,married,no
26,technician,single,yes
,admin.,divorced,no
28,unknown,single,no
35,services,single,no
34,management,married,no
45,housemaid,married,no
41,blue-collar,married,no
45,admin.,married,no
,admin.,divorced,no
,admin.,married,no
49,admin.,divorced,no
35,unknown,married,no
27,self-employed,married,no
24,student,single,no
30,blue-collar,married,no
34,unknown,married,no
42,admin.,divorced,no
,blue-collar,divorced,no
35,admin.,married,no
42,admin.,divorced,no
45,admin.,divorced,yes
,management,married,no
47,technician,married,yes
56,services,married,no
29,blue-collar,married,no
,technician,married,no
46,admin.,married,no
49,admin.,divorced,no
,blue-collar,married,no
32,services,married,no
,admin.,married,no
28,blue-collar,single,no
59,retired,married,yes
36,blue-collar,married,no
27,services,single,yes
,blue-collar,married,yes
50,blue-collar,married,yes
32,admin.,married,no
64,retired,divorced,yes
51,admin.,married,no
44,management,divorced,no
51,admin.,married,no
41,blue-collar,married,no
33,admin.,single,no
30,student,single,yes
46,retired,married,no
88,retired,divorced,no
43,services,married,no
31,admin.,married,no
57,services,married,no
40,blue-collar,married,no
59,retired,divorced,no
,admin.,married,no
25,blue-collar,married,yes
41,blue-collar,married,no
35,admin.,married,no
,technician,married,no
26,blue-collar,married,no
32,blue-collar,single,no
37,entrepreneur,married,no
53,self-employed,married,no
34,technician,married,no
,admin.,married,no
24,student,single,no
35,technician,single,no
31,admin.,single,no
,admin.,single,no
35,blue-collar,married,no
46,services,married,no
,technician,single,no
42,admin.,single,no
55,blue-collar,married,no
39,blue-collar,single,no
50,admin.,married,no
37,technician,single,yes
,services,divorced,no
36,blue-collar,married,no
25,admin.,married,no
51,unemployed,married,no
34,technician,married,no
45,technician,married,no
45,admin.,married,yes
48,admin.,divorced,yes
45,admin.,married,no
,technician,divorced,no
32,admin.,single,no
32,admin.,single,no
,technician,married,no
50,admin.,married,no
34,services,divorced,no
32,admin.,single,yes
31,housemaid,married,no
37,admin.,married,no
48,management,married,no
,blue-collar,married,no
50,retired,married,no
,blue-collar,married,no
25,technician,single,no
37,blue-collar,single,no
31,technician,married,no
39,admin.,single,no
43,technician,single,no
56,technician,married,yes
37,entrepreneur,married,no
,admin.,married,no
,blue-collar,single,no
29,admin.,married,no
35,technician,single,no
25,blue-collar,married,no
38,technician,married,no
,blue-collar,married,yes
27,technician,single,no
,services,single,no
,services,single,yes
31,admin.,single,no
,services,single,yes
34,housemaid,married,no
33,services,single,no
33,technician,divorced,no
,self-employed,single,no
36,technician,married,no
38,entrepreneur,married,no
33,services,divorced,no
53,blue-collar,married,no
34,blue-collar,married,no
,technician,married,no
35,entrepreneur,married,no
51,retired,married,no
37,blue-collar,divorced,no
,admin.,married,yes
55,technician,married,no
31,services,married,no
,services,married,no
52,blue-collar,married,yes
35,admin.,single,no
34,blue-collar,married,no
,admin.,divorced,yes
,admin.,married,no
49,blue-collar,married,no
,self-employed,married,no
,student,single,no
35,admin.,divorced,no
53,technician,divorced,yes
57,unemployed,married,yes
31,technician,married,no
44,unemployed,divorced,no
,blue-collar,married,no
,blue-collar,divorced,no
49,blue-collar,divorced,no
,admin.,married,no
51,admin.,single,no
43,entrepreneur,married,yes
,technician,married,no
47,self-employed,married,no
,management,single,no
53,management,married,no
,self-employed,married,no
44,admin.,married,no
38,technician,single,no
31,blue-collar,married,no
38,services,married,no
,blue-collar,married,no
44,self-employed,married,no
35,management,married,no
36,entrepreneur,single,no
39,admin.,single,no
,technician,single,no
52,retired,married,no
27,blue-collar,single,no
39,admin.,single,no
28,admin.,married,yes
32,admin.,single,no
28,technician,divorced,no
,admin.,married,yes
50,services,divorced,no
51,blue-collar,married,no
42,entrepreneur,married,no
43,blue-collar,married,no
41,blue-collar,divorced,no
,management,married,no
47,blue-collar,married,no
39,housemaid,divorced,no
39,blue-collar,married,no
33,admin.,single,no
40,services,divorced,no
,blue-collar,divorced,no
38,services,married,no
39,admin.,married,no
28,admin.,married,no
,admin.,single,no
33,admin.,married,no
76,management,married,no
60,admin.,divorced,no
29,technician,single,yes
33,admin.,single,no
,blue-collar,single,no
,admin.,married,yes
,self-employed,married,no
,unknown,married,no
,student,married,no
42,technician,single,no
29,student,single,yes
30,blue-collar,single,no
36,housemaid,divorced,no
,admin.,divorced,no
,management,married,yes
30,blue-collar,married,no
,admin.,single,no
,blue-collar,married,no
30,admin.,married,no
32,technician,married,no
53,entrepreneur,married,no
29,student,single,yes
,blue-collar,single,no
,retired,married,yes
43,blue-collar,married,no
,blue-collar,divorced,no
36,blue-collar,married,no
33,blue-collar,divorced,no
36,blue-collar,married,no
,technician,married,yes
28,management,single,no
,services,married,no
33,admin.,married,no
33,admin.,single,no
,blue-collar,married,no
55,retired,married,no
52,entrepreneur,divorced,yes
32,technician,single,no
54,management,married,no
48,blue-collar,married,no
43,technician,divorced,no
,blue-collar,married,no
36,blue-collar,married,no
41,technician,married,no
45,blue-collar,married,yes
37,technician,married,no
57,management,divorced,yes
30,services,divorced,no
52,blue-collar,married,no
28,technician,single,no
26,admin.,single,no
36,blue-collar,married,no
36,services,married,no
33,technician,single,no
47,management,married,no
,admin.,married,yes
51,management,married,no
35,blue-collar,single,no
45,self-employed,divorced,no
47,admin.,married,no
39,entrepreneur,married,no
57,self-employed,married,no
39,blue-collar,married,no
33,technician,married,no
31,entrepreneur,married,no
43,blue-collar,married,no
24,management,single,no
45,housemaid,married,no
33,blue-collar,married,no
30,management,single,no
52,self-employed,married,no
,student,single,no
49,blue-collar,married,no
29,admin.,divorced,no
,technician,married,no
32,management,single,no
36,blue-collar,single,no
54,technician,married,no
35,admin.,divorced,no
,technician,single,yes
62,retired,single,no
55,blue-collar,divorced,no
,unemployed,married,no
,student,single,no
25,blue-collar,single,no
36,admin.,single,no
34,technician,married,no
57,services,divorced,no
,self-employed,single,no
30,services,single,no
28,services,married,no
37,blue-collar,married,no
36,entrepreneur,married,no
44,technician,single,no
47,technician,married,no
,management,married,no
44,blue-collar,single,no
38,entrepreneur,married,no
36,blue-collar,married,no
31,blue-collar,single,no
,admin.,single,no
30,management,single,no
28,admin.,married,no
25,services,single,no
,admin.,married,no
